gene_name	log2FoldChange	log2FC.shrink	pvalue	padj	de_vector	condition
CJJ81176_0964	-0.2667097478188987	-0.1125778713992972	0.30557053422193814	0.5265495170237996	0	As
CJJ81176_0965	-0.2438900037957792	-0.16154325424967303	0.14866774816233605	0.32477044236959196	0	As
CJJ81176_0966	0.06369553566013915	0.04939155003778959	0.47596366368108883	0.6803245015848278	0	As
CJJ81176_0967	-0.010963054877111788	-0.009626908641595723	0.9365595267622954	0.9686780388656252	0	As
CJJ81176_0968	-0.31845838788291275	-0.21380070586573083	0.07537571339039145	0.20161564864116918	0	As
CJJ81176_0969	-0.8503444350280395	-0.7603708519605686	2.3883597697986077e-5	5.230507895858951e-4	-1	As
CJJ81176_0970	0.5447630540216819	0.44733684645794897	0.001714655090031031	0.013717240720248249	1	As
CJJ81176_0971	0.1981558602702512	0.14791506093562778	0.14092698423800637	0.31283537655111865	0	As
CJJ81176_0972	0.2679720805192834	0.12138222323144933	0.28392647457191816	0.5011244295591369	0	As
CJJ81176_0973	0.13130923557959417	0.08318834582060107	0.4240583082283494	0.6432468883256002	0	As
CJJ81176_0974	0.3927568878286239	0.3316359546422848	0.0036113399765998087	0.023966165299253276	1	As
CJJ81176_0975	-0.23094078666305506	-0.16910228362078547	0.11118327625508814	0.26611079234824375	0	As
CJJ81176_0976	0.3073721961305429	0.24364483780157611	0.027252128980699442	0.104935670272935	0	As
CJJ81176_0977	0.36792260786820374	0.2743964985238199	0.024844618168179757	0.09870242864093183	0	As
CJJ81176_0978	0.4043168463193469	0.34055003522863714	0.003117131928484395	0.021172765178950347	1	As
CJJ81176_0979	0.15419667915873297	0.0838665563471202	0.43704759394646936	0.6527769689635246	0	As
CJJ81176_0980	0.2703605416533216	0.20158212801293107	0.059313354419524664	0.16804991246177212	0	As
CJJ81176_0981	0.44031552569162546	0.3949553823493492	1.9307591090419554e-4	0.0026563211143628843	1	As
CJJ81176_0982	0.5465926958550474	0.28601892105435706	0.04583652861625804	0.1434028538137216	0	As
CJJ81176_0983	-0.05254676717049038	-0.02105312491597241	0.8345104589262894	0.9109422579681364	0	As
CJJ81176_0984	-0.09697668285446462	-0.006455209314761423	0.8886837172965029	0.9444350627998892	0	As
CJJ81176_0985	0.1471421712810985	0.0639290116862804	0.5455521869380584	0.7312987234242375	0	As
CJJ81176_0986	-0.026673241552876537	-0.012005934376637934	0.9142202688162723	0.9553450456636148	0	As
CJJ81176_0987	0.3854040826229475	0.3280638561101135	0.0026939375759756656	0.01926440258411986	1	As
CJJ81176_0988	-0.4177644427716932	-0.2547497293304589	0.05746926747803033	0.16669893480382308	0	As
CJJ81176_0990	-0.2294013034656245	0.0018267964748307419	0.9499271026537404	NA	0	As
CJJ81176_1744	-0.2295213573002639	-0.0011003735766951768	0.9657994073654833	NA	0	As
CJJ81176_0995	-0.24215317438256861	-0.1695147747736081	0.1328636047186821	0.30270095639418865	0	As
CJJ81176_0996	-0.8904739436693423	-0.8503613784368709	9.835057862466404e-11	3.2369591853990956e-8	-1	As
